Course Code,Prerequisites
BHEB672,BHEB671
BHEB681,BHEB672
BHEB682,BHEB681
BIBD600,
BIBD642,
BIBD647,
BIBD660,
BIBD661,
BIBD678,
BIBD686,
BIBD699,
BIBH380,SO and BIBL101 and (BIBL102 or BIBL103)
BIBH383,SO and BIBL101 and (BIBL102 or BIBL103)
BIBH400,
BIBH432,SO and BIBL101 and (BIBL102 or BIBL103)
BIBH600,
BIBH633,BIBH651 and BIBH652
BIBH640,
BIBH651,
BIBH652,
BIBH655,
BIBH664,
BIBH674,BIBH651
BIBL101,
BIBL102,
BIBL103,
BIBL211,
BIBL320,BIBL101 and (BIBL102 or BIBL103) and BIBL211 and BGRK221 and BGRK222
BIBL359,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBL364,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBL365,BIBL101 and (BIBL102 or BIBL103) and BIBL211 and BGRK221 and BGRK222
BIBL367,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBL400,
BIBL420,
BIBL440,
BIBL451,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBL452,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBL453,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBL454,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBL458,BIBL101 and (BIBL102 or BIBL103) and BIBL211 and BGRK221 and BGRK222
BIBL460,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBL461,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBL466,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBL600,
BIBL601,
BIBL610,
BIBL611,
BIBL620,
BIBL621,
BIBL627,
BIBL630,
BIBL640,
BIBL650,
BIBL653,
BIBL662,
BIBL671,
BIBL682,
BIBL699,
BIBM329,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM330,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM340,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM341,BIBL101 and (BIBL102 or BIBL103) and BIBL211 and BIBM340
BIBM391,JR and BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM395,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM400,SO and BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM401,SO and BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM403,SO and BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM405,JR and BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM409,JR and BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM413,JR and BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM422,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM429,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM434,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM435,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM439,BIBL101 and BIBL102 and BIBL211
BIBM440,
BIBM442,BIBL101 and BIBL102 and BIBL211 and BIBM340 and BIBM341 and BIBM435
BIBM451,SR and BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM480,SO and BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM491,BIBM329 and BIBM391
BIBM492,JR and BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBM493,BGRK442 or BIBL320
BIBM602,
BIBM603,
BIBM604,
BIBM605,
BIBM609,
BIBM614,
BIBM616,
BIBM629,
BIBM640,
BIBM648,
BIBM651,
BIBM652,
BIBM656,
BIBM657,
BIBM658,
BIBM679,
BIBM696,
BIBM700,
BIBM701,
BIBM702,
BIBM706,
BIBM710,
BIBM717,
BIBM719,
BIBM721,
BIBM725,
BIBM740,
BIBM798,
BIBM799,
BIBP352,BIBL101 and (BIBL102 or BIBL103)
BIBP380,BIBL101 and (BIBL102 or BIBL103)
BIBP400,BIBL101 and (BIBL102 or BIBL103)
BIBP478,BIBL101 and (BIBL102 or BIBL103)
BIBP486,BIBL101 and (BIBL102 or BIBL103)
BIBP487,BIBL101 and (BIBL102 or BIBL103)
BIBP489,BIBL101 and (BIBL102 or BIBL103)
BIBT332,SO and BIBL101 and (BIBL102 or BIBL103)
BIBT342,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BIBT379,SO and BIBL101 and (BIBL102 or BIBL103)
BIBT400,BIBL101 and (BIBL102 or BIBL103)
BIBT491,BIBL101 and (BIBL102 or BIBL103)
BIOL101,
BIOL112,
BIOL113,BIOL112 and BIOL114
BIOL114,
BIOL115,BIOL112 and BIOL114
BIOL203,MATH237 or ACT Math 20 or SAT Math 500
BIOL221,BIOL112 and BIOL114 and BIOL113 and BIOL115
BIOL222,BIOL112 and BIOL114 and BIOL113 and BIOL115
BIOL223,BIOL112 and BIOL114 and BIOL113 and BIOL115
BIOL224,BIOL112 and BIOL114 and BIOL113 and BIOL115
BIOL240,
BIOL291,BIOL101 and (ACT Science 20 or SAT 950)
BIOL292,BIOL291 and BIOL293
BIOL293,
BIOL294,
BIOL312,(CHEM114 or CHEM134) and BIOL112 and BIOL114 and BIOL113 and BIOL115 and BIOL221 and BIOL223 and BIOL222 and BIOL224
BIOL322,BIOL221 and BIOL223 and BIOL222 and BIOL224
BIOL330,BIOL312
BIOL340,
BIOL351,BIOL112 and BIOL114 and BIOL113 and BIOL115
BIOL353,
BIOL354,
BIOL355,BIOL312 or CHEM223
BIOL357,
BIOL362,BIOL221 and BIOL223 and BIOL222 and BIOL224
BIOL364,BIOL221 and BIOL223 and BIOL222 and BIOL224
BIOL370,
BIOL380,BIOL221 and BIOL223 and BIOL222 and BIOL224
BIOL399,
BIOL400,
BIOL401,
BIOL403,
BIOL440,
BIOL448,GERO448 and GERO548
BIOL454,BIOL312
BIOL471,BIOL221 and BIOL223 and BIOL222 and BIOL224 and BIOL362
BIOL472,CHEM324
BIOL475,BIOL312 or CHEM454 or BIOL472
BIOL476,BIOL312
BIOL480,BIOL312
BIOL481,BIOL112 and BIOL114 and BIOL113 and BIOL115
BIOL483,
BIOL491,BIOL112 and BIOL114 and BIOL113 and BIOL115
BIOL492,BIOL112 and BIOL114 and BIOL113 and BIOL115
BIOL493,
BIOL495,BIOL112 and BIOL114 and BIOL113 and BIOL115
BIOL497,
BIOL498,BIOL312
BLAW363,
BLAW400,
BLAW440,
BLAW460,ACCT310
BLAW461,ACCT310
BMFT600,
BMFT601,
BMFT602,
BMFT603,
BMFT604,
BMFT605,
BMFT610,
BMFT615,
BMFT634,
BMFT639,
BMFT640,
BMFT641,
BMFT643,
BMFT645,
BMFT651,
BMFT661,BMFT639 and BMFT641
BMFT662,
BMFT663,
BMFT665,
BMIS240,
BMIS245,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BMIS270,
BMIS346,
BMIS371,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BMIS391,BIBL101 or BIBL103
BMIS420,BIBL101 and (BIBL102 or BIBL103) and BIBL211
BMIS421,
BMIS458,
BMIS619,
BMIS640,
BMIS646,
BMIS647,
BMIS649,
BMIS650,
BMIS652,
BMIS671,
BMIS673,
BMIS675,
BUSA120,
BUSA419,FIN390 and MGMT330 and (MKTG320 or MKTG340)
BUSA435,
BUSA440,
BUSA80,
BUSA84,
BUSA88,
CANT4,
CBUS4C0,
CBUS4C1,
CEDU60,
CEXS2C0,
CFOR1,
CFOR1C0,
CHEM101,
CHEM111,
CHEM112,
CHEM113,
CHEM114,
CHEM131,
CHEM132,
CHEM133,
CHEM134,
CHEM203,
CHEM221,
CHEM223,
CHEM322,
CHEM323,
CHEM324,
CHEM333,
CHEM334,
CHEM340,
CHEM341,
CHEM355,
CHEM356,
CHEM375,
CHEM393,
CHEM400,
CHEM401,
CHEM413,
CHEM423,
CHEM440,
CHEM441,
CHEM443,
CHEM453,
CHEM454,
CHEM463,
CHEM464,
CHEM483,
CHEM540,
CHIS3,
CHIS3C0,
CHIS4,
CINT4C0,
CJMC4F0,
CJMC4F1,
CMUS4M0,
CMUS4M1,
CMUS4M2,
CMUS4M3,
CMUS4M4,
CMUS4M5,
COMM136,
COMM211,
COMM222,
COMM331,
COMM343,
COMM345,
COMM376,
COMM392,
COMM408,
COMM421,
COMM430,
COMM440,
COMM483,
COMM485,
COMM499,
COMM508,
COMM585,
COMM620,
COMM636,
COMM642,
COMM675,
COMM697,
COMM699,
COMP140,
COMP225,
COMP235,
COMP330,
COMP340,
COMP352,
COMP353,
COMP356,
COMP357,
COMP380,
COMP381,
COMP419,
COMP440,
COMP471,
COMP479,
COMP485,
COMP493,
COMP494,
COMP600,
COMP601,
COMP602,
COMP603,
COMP604,
COMP606,
COMP608,
COMP610,
COMP613,
COMP620,
COMP640,
COMP659,
COMP661,
COMP670,
COMP693,
COMP694,
COMS136,
COMS200,
COMS211,
COMS222,
COMS236,
COMS300,
COMS331,
COMS340,
COMS341,
COMS343,
COMS345,
COMS375,
COMS376,
COMS383,
COMS384,
COMS400,
COMS407,
COMS408,
COMS421,
COMS430,
COMS436,
COMS440,
COMS450,
COMS483,
COMS485,
COMS486,
COMS491,
COMS499,
COMS508,
COMS521,
COMS536,
COMS540,
COMS543,
COMS545,
COMS575,
COMS585,
COMS586,
COMS600,
COMS620,
COMS621,
COMS631,
COMS636,
COMS640,
COMS642,
COMS675,
COMS683,
COMS685,
COMS686,
COMS687,
COMS697,
COMS698,
COMS699,
CONR601,
CONR605,
CONR610,
CONR612,
CONR615,
CONR617,
CONR630,
CONR635,
CONR637,
CONR638,
CONR640,
CONR643,
CONR645,
CORE110,
CORE115,
CORE210,
CORE340,
CPOL4C0,
CS115,
CS116,CS115
CS120,
CS130,CS120
CS140,
CS220,CS130 and CS111
CS230,
CS301,CS230
CS311,
CS315,
CS316,CS315
CS330,
CS332,
CS340,
CS341,
CS352,CS230
CS355,
CS356,
CS365,CS220 and CS332
CS374,
CS381,
CS420,IT221
CS467,CS332
CS474,
CTHE4F0,
CTHE4F1,
CTHE4F2,
CTHE4F3,
CTHE4F4,
CUNI4F0,
DET210,
DET240,
DET310,DET210
DET340,
DET350,DET210
DET400,
DET410,
DET440,
DSGN102,
DSGN111,
DSGN201,
DSGN202,
DSGN211,
DSGN221,
DSGN222,
DSGN232,
DSGN251,
DSGN301,
DSGN302,
DSGN351,
DSGN352,
DSGN401,
DSGN402,
DSGN461,
DSGN463,
EACH363,
EACH451,
EACH466,
ECON260,
ECON261,
ECON340,
ECON438,
ECON440,
EDUC211,
EDUC221,
EDUC240,
EDUC250,
EDUC287,
EDUC323,
EDUC331,
EDUC340,
EDUC370,
EDUC411,
EDUC412,
EDUC431,
EDUC432,
EDUC440,
EDUC476,
EDUC490,
EDUC600,
EDUC621,
EDUC622,
EDUC640,
EDUC651,
EDUC652,
EDUC653,
EDUC656,
EDUC660,
EDUC661,
EDUC665,
EDUC668,
EDUC674,
EDUC680,
EDUC681,
EDUC682,
EDUC683,
EDUC684,
EDUC686,
EDUC687,
EDUC688,
EDUC691,
ENGL106,
ENGL107,
ENGL111,
ENGL112,
ENGL221,
ENGL222,
ENGL231,
ENGL232,
ENGL240,
ENGL262,
ENGL263,
ENGL3,
ENGL301,
ENGL311,
ENGL320,
ENGL322,
ENGL323,
ENGL325,
ENGL326,
ENGL328,
ENGL329,
ENGL330,
ENGL331,
ENGL351,
ENGL362,
ENGL363,
ENGL376,
ENGL377,
ENGL378,
ENGL4,
ENGL400,
ENGL406,
ENGL410,
ENGL411,
ENGL412,
ENGL432,
ENGL442,
ENGL446,
ENGL447,
ENGL448,
ENGL449,
ENGL459,
ENGL464,
ENGL470,
ENGL471,
ENGL472,
ENGL483,
ENGL484,
ENGL495,
ENGL496,
ENGL499,
ENGL500,
ENGL520,
ENGL522,
ENGL523,
ENGL526,
ENGL530,
ENGL532,
ENGL583,
ENGL584,
ENGL595,
ENGL596,
ENGL6,
ENGL600,
ENGL610,
ENGL612,
ENGL613,
ENGL615,
ENGL620,
ENGL622,
ENGL623,
ENGL624,
ENGL625,
ENGL631,
ENGL633,
ENGL640,
ENGL652,
ENGL699,
ENGL7,
ENGR115,
ENGR116,
ENGR131,
ENGR135,
ENGR136,
ENGR140,
ENGR210,
ENGR211,
ENGR220,
ENGR222,
ENGR240,
ENGR305,
ENGR306,
ENGR332,
ENGR333,
ENGR335,
ENGR336,
ENGR340,
ENGR342,
ENGR343,
ENGR388,
ENGR390,
ENGR430,
ENGR431,
ENGR434,
ENGR440,
ENVR112,
ENVR233,
ENVR320,
ENVR341,
ENVR345,
ENVR350,
ENVR354,
ENVR400,
ENVR410,
ENVR420,
ENVR440,
ENVR455,
ENVR458,
FAM251,
FAM265,
FAM285,
FAM356,
FAM362,
FAM400,
FAM432,
FAM440,
FAM452,
FAM453,
FAM454,
FAM455,
FAM470,
FAM485,
FAM495,
FIN310,
FIN311,
FIN411,
FIN412,
FIN416,
FIN419,
FIN420,
FIN434,
FIN439,
FIN440,
FIN499,
FLAR131,
FLAR132,
FLAR231,
FLAR232,
FLEN21,
FLEN23,
FLEN27,
FLEN29,
FLEN31,
FLEN33,
FLEN37,
FLEN39,
FLEN41,
FLEN47,
FLEN49,
FLFR111,
FLFR112,
FLFR221,
FLFR222,
FLFR352,
FLFR400,
FLFR440,
FLFR481,
FLFR484,
FLGE111,
FLGE112,
FLGE221,
FLGE222,
FLGE340,
FLGE440,
FLIN130,
FLIN230,
FLJA131,
FLJA132,
FLJA231,
FLJA232,
FLLA400,
FLLA600,
FLMA131,
FLMA132,
FLMA231,
FLMA232,
FLRU232,
FLSP111,
FLSP112,
FLSP140,
FLSP221,
FLSP222,
FLSP300,
FLSP340,
FLSP353,
FLSP385,
FLSP386,
FLSP388,
FLSP400,
FLSP440,
FLSP482,
FLSP483,
FLSP491,
FORL140,
FORL240,
FREN111,
FREN112,
FREN221,
FREN222,
FREN340,
FREN352,
FREN386,
GEOG235,
GEOG354,
GEOL111,
GEOL340,
GER111,
GER112,
GER221,
GER222,
GER340,
GERO350,
GERO352,
GERO400,
GERO441,
GERO479,
GERO495,
GERO548,
GERO550,
GERO552,
GERO579,
GERO600,
GERO690,
GLST120,
GLST212,
GLST217,
GLST240,
GLST340,
GLST400,
GLST499,
GRAD695,
GRAD696,
GRAD698,
HED112,
HED324,
HED405,
HED410,
HIED611,
HIED613,
HIED621,
HIED622,
HIED632,
HIED635,
HIED643,
HIED652,
HIED654,
HIED656,
HIED658,
HIED695,
HIST117,
HIST118,
HIST131,
HIST221,
HIST222,
HIST240,
HIST250,
HIST353,
HIST403,
HIST404,
HIST405,
HIST412,
HIST413,
HIST414,
HIST419,
HIST440,
HIST452,
HIST455,
HIST459,
HIST472,
HIST474,
HIST478,
HIST479,
HIST480,
HIST481,
HIST482,
HIST483,
HIST484,
HIST496,
HIST580,
HIST600,
HON307,
HON401,
HON402,
HON403,
HON404,
HON405,
HON406,
HON407,
HON408,
HON409,
HON411,
HON412,
HON413,
HON414,
HON415,
HON416,
HON417,
HON418,
HON419,
INTS212,
INTS217,
INTS240,
INTS440,
INTS499,
IS322,MATH130 or MATW130
IS324,
IS342,
IS405,IS324 or IT220
IS410,IS324
IS415,
IS432,
IS499,
IT105,
IT140,
IT220,CS115 or CS120
IT221,CS115 or CS120
IT225,
IT310,
IT320,IT220
IT325,IT220 and IT225
IT330,IT221
IT340,
IT410,
IT420,
IT440,
IT490,
IT651,
IT652,
ITC110,
ITC140,
ITC460,
ITC499,
JMC100,
JMC102,
JMC111,
JMC201,
JMC223,
JMC233,
JMC239,
JMC260,
JMC261,
JMC302,
JMC303,
JMC310,
JMC317,
JMC321,
JMC324,
JMC341,
JMC342,
JMC347,
JMC348,
JMC351,
JMC352,
JMC360,
JMC364,
JMC389,
JMC390,
JMC391,
JMC400,
JMC405,
JMC438,
JMC440,
JMC441,
JMC449,
JMC450,
JMC488,
JMC492,
JMC495,
KINE100,
KINE201,
KINE206,
KINE232,
KINE240,
KINE241,
KINE291,
KINE301,
KINE302,
KINE303,
KINE311,
KINE321,KINE241 or EXSC241
KINE322,
KINE330,
KINE333,
KINE340,
KINE360,
KINE361,KINE241 or EXSC241
KINE372,
KINE373,
KINE391,
KINE399,
KINE400,
KINE401,
KINE420,(KINE460 or EXSC460) and (KINE372 or EXSC372) and (KINE373 or EXSC373)
KINE421,
KINE440,(KINE232 or EXSC232) and (KINE372 or EXSC372) and (KINE373 or EXSC373)
KINE450,
KINE460,KINE360 or EXSC360
KINE464,KINE241 or EXSC241
KINE473,
KINE475,(KINE241 or EXSC241) and (KINE372 or EXSC372) and (KINE373 or EXSC373) and (KINE472 or EXSC473)
KINE480,
KINE485,
KINE490,
KINE491,
KINE492,KINE491 or EXSC491
KINE498,KINE232 or EXSC232
KINE600,
LEAD701,
LEAD711,
LEAD714,
MACC604,
MACC605,
MACC609,
MACC610,
MACC611,
MACC617,
MACC619,
MACC621,
MACC622,
MACC640,
MATH109,
MATH120,
MATH123,
MATH124,
MATH130,
MATH131,
MATH140,
MATH185,
MATH186,
MATH187,
MATH200,
MATH227,
MATH237,
MATH238,
MATH240,
MATH247,
MATH286,
MATH309,
MATH311,
MATH325,
MATH334,
MATH341,
MATH351,
MATH361,
MATH377,
MATH381,
MATH397,
MATH412,
MATH432,
MATH440,
MATH445,
MATH453,
MATH463,
MATH477,
MATH478,
MATH483,
MATH490,
MATH497,
MATT640,
MATW120,
MATW130,
MATW19,
MATW20,
MATW30,
MFTO601,
MFTO639,
MFTO641,
MFTO662,
MGMT305,
MGMT320,
MGMT330,
MGMT331,
MGMT332,MGMT330
MGMT335,
MGMT337,MGMT330
MGMT342,(IS322 or ISQS322) and MGMT331
MGMT345,IS322 or ISQS322
MGMT373,MGMT330
MGMT375,MGMT330
MGMT400,
MGMT419,
MGMT430,
MGMT432,MGMT305
MGMT439,
MGMT440,
MGMT447,
MGMT452,
MGMT499,
MGMT532,
MGMT636,
MKTG320,
MKTG341,
MKTG342,(MKTG340 or MKTG320) and MKTG 341
MKTG432,
MKTG440,
MKTG495,(MKTG340 or MKTG320) and MKTG 341
MKTG499,
MPEI210,
MPEI301,
MPEI302,
MPEI303,
MPEI304,
MPEI305,
MPEI306,
MPEI311,
MPEI312,
MPEI313,
MPEI314,
MPEI315,
MPEI316,
MPEI401,
MPEI402,
MPEI403,
MPEI406,
MPEI407,
MPEI411,
MPEI412,
MPEI414,
MPEI417,
MPEV201,
MPEV211,
MPEV301,
MPEV302,
MPEV311,
MPEV312,
MPIM221,
MPIM421,
MPIN211,
MPIN411,
MPVM221,
MPVM231,
MPVM421,
MPVM431,
MPVN211,
MPVN411,
MUPC113,
MUPC114,
MUPC213,
MUPC214,
MUPM221,
MUPM231,
MUPM421,
MUPM431,
MUPN211,
MUPN411,
MUSC217,
MUSC218,MUSC217
MUSC440,
MUSE110,
MUSE115,
MUSE116,
MUSE117,
MUSE118,
MUSE119,
MUSE211,
MUSE235,
MUSE236,
MUSE330,
MUSE332,
MUSE333,
MUSE334,
MUSE335,
MUSE336,
MUSE337,MUSE334
MUSE338,
MUSE339,MUSE338
MUSE449,
MUSM131,
MUSM132,
MUSM230,
MUSM231,
MUSM232,
MUSM331,
MUSM431,
MUSM432,MUSM131 and MUSM132 and MUSM431
MUSM439,
MUSM441,
MUSM442,MUSM441 or MUSM430
MUSM449,MUSM432 and MUST332 and MUSM431
MUSR301,
MUSR311,
MUST111,
MUST112,MUST11 and MUST131
MUST120,
MUST131,
MUST132,MUST11 and MUST131
MUST211,
MUST212,
MUST231,
MUST232,
MUST331,
MUST332,
MUST432,
NCMI440,
NURS250,
NURS310,
NURS320,
NURS321,
NURS322,
NURS323,
NURS324,
NURS330,
NURS335,NURS321 and NURS322 and NURS323 and NURS324
NURS336,NURS321 and NURS322 and NURS323 and NURS324
NURS350,
NURS351,
NURS352,
NURS360,
NURS361,
NURS370,
NURS371,
NURS380,
NURS430,
NURS431,
NURS435,
NURS440,
NURS443,
NURS446,
NURS450,
NURS451,NURS321 and NURS322 and NURS323 and NURS 324 and (NURS333 or NURS336) and (NURS45 or NURS446)
NURS452,NURS443
NURS453,
NURS464,
NURS470,
NURS471,
NURS473,
NURS474,
NURS475,
NURS476,
NURS495,NURS443
NURS498,
NURS630,
NURS652,
NURS653,
NUTR120,
NUTR221,
NUTR222,
NUTR224,
NUTR322,
NUTR323,NUTR221 and NUTR322 and (CHEM112 and CHEM114) or (CHEM132 and CHEM134)
NUTR325,NUTR221 and NUTR322 and (CHEM112 and CHEM114) or (CHEM132 and CHEM134)
NUTR327,
NUTR328,
NUTR401,
NUTR421,NUTR221
NUTR423,NUTR222
NUTR425,BIOL291 and BIOL292 and BIOL293 and BIOL294 and CHEM243 and (FCS324 or NUTR324)
NUTR426,(FCS222 or NUTR222)
NUTR427,
NUTR428,
NUTR429,
NUTR450,
NUTR521,
NUTR522,
NUTR523,
NUTR621,
OCCT601,
OCCT603,
OCCT605,
OCCT607,
OCCT617,
OCCT635,
OCCT637,
OCCT639,
OCCT640,
OCCT641,
OCCT651,
OCCT655,
OCCT661,
OCCT670,
OCCT690,
OCCT695,
OCCT735,
OCCT740,
PEAC100,
PEAC101,
PEAC111,
PEAC140,
PEAC200,
PEAC203,
PEAC205,
PEAC206,
PEAC207,
PEAC210,
PEAC211,
PEAC212,
PEAC214,
PEAC215,
PEAC216,
PEAC217,
PEAC219,
PEAC224,
PEAC227,
PEAC228,
PEAC229,
PEAC234,
PEAC235,
PEAC237,
PEAC239,
PEAC240,
PEAC340,
PEAC341,
PEAC350,
PEAC351,
PEAC352,
PEAC440,
PHIL378,
PHIL379,
PHIL380,
PHIL451,
PHIL478,
PHIL486,BIBP486
PHIL487,
PHIL489,
PHYS101,
PHYS110,
PHYS111,
PHYS112,PHYS110
PHYS113,PHYS110
PHYS120,MATH185
PHYS121,MATH185
PHYS122,
PHYS123,
PHYS135,
PHYS136,
PHYS203,
PHYS220,
PHYS221,
PHYS222,
PHYS223,
PHYS230,
PHYS231,
PHYS240,
PHYS330,
PHYS331,
PHYS335,MATH185 or MATH186
PHYS336,MATH185 or MATH186
PHYS360,
PHYS362,PHYS122 and MATH186
PHYS363,PHYS122 and PHYS123 and MATH186
PHYS371,PHYS230 and PHYS231
PHYS378,
PHYS379,
PHYS388,
PHYS401,
PHYS440,
PHYS451,
PHYS453,
PHYS461,
PHYS472,
PHYS481,
PHYS491,PHYS230 and PHYS231 and PHYS385
PHYS493,
PHYS497,
PHYS498,
PHYS499,
POLC205,
POLC499,
POLS221,
POLS225,
POLS226,
POLS227,
POLS300,
POLS341,
POLS344,
POLS357,
POLS360,
POLS361,
POLS381,
POLS382,
POLS383,
POLS384,
POLS385,
POLS393,
POLS395,
POLS400,
POLS420,
POLS431,
POLS432,
POLS440,
POLS484,
POLS487,
POLS488,
POLS490,
POLS491,
POLS492,
POLS493,
POLS499,
PSJS499,
PSYC120,
PSYC140,
PSYC200,
PSYC201,
PSYC232,
PSYC233,(BIOL112 and BIOL113) or BIOL101 or BIOL203
PSYC241,
PSYC278,
PSYC301,
PSYC305,
PSYC311,
PSYC342,
PSYC345,
PSYC351,PSYC368
PSYC368,
PSYC370,PSYC120 or SOCI111
PSYC372,
PSYC374,
PSYC382,
PSYC388,
PSYC392,
PSYC400,
PSYC401,
PSYC440,
PSYC451,
PSYC485,PSYC382
PSYC493,
PSYC542,
PSYC600,
PSYC608,
PSYC610,
PSYC612,
PSYC613,
PSYC620,
PSYC624,
PSYC640,
PSYC641,
PSYC642,
PSYC643,PSYC660
PSYC644,
PSYC645,
PSYC646,
PSYC647,
PSYC648,
PSYC649,
PSYC650,
PSYC657,
PSYC660,
PSYC664,
PSYC665,
PSYC668,
PSYC669,
PSYC676,
PSYC682,
PSYC683,
PSYC685,
PSYC690,PSYC610 and PSYC650
PSYC692,PSYC660 and PSYC690 and PSYC610 and PSYC650 and PSYC648
PSYC694,PSYC645 and PSYC647 and PSYC649 and PSYC690
PSYC695,
PSYC699,
READ322,EDUC211 and EDUC221
READ363,EDUC211 and EDUC250
READ460,(EDUC211 or EDUC311) and (READ263 or READ363)
READ464,(READ263 or READ363) and (EDUC211 or EDUC311) and EDUC250
READ480,READ363
SOCI111,
SOCI205,
SOCI222,
SOCI240,
SOCI350,
SOCI355,
SOCI362,
SOCI380,
SOCI385,
SOCI388,
SOCI400,
SOCI410,SOCI205 and SOCI388
SOCI410,
SOCI415,
SOCI416,
SOCI440,
SOCI477,
SOCI480,
SOCI498,
SOCI499,
SOCI550,
SOCI577,
SOCI615,
SOCW230,
SOCW250,
SOCW327,
SOCW329,
SOCW351,
SOCW381,
SOCW400,
SOCW415,
SOCW416,SOCW415
SOCW416,
SOCW440,
SOCW441,
SOCW442,SOCW351 and SOCW441
SOCW451,SOCW351
SOCW481,SOCW381 and SOCW451
SOCW481,
SOCW615,SOCW615
SOCW615,
SOCW616,SOCW615
SOCW625,
SOCW626,SOCW625
SOCW641,
SOCW642,SOCW641
SOCW651,
SOCW652,SOCW651
SOCW681,
SOCW682,SOCW652
SOCW702,
SOCW725,
SOCW741,
SOCW744,
SOCW745,
SOCW748,
SOCW751,
SOCW752,SOCW751
SOCW781,
SOCW782,SOCW781 and SOCW752 and SOCW799
SOCW799,
SPAN111,
SPAN112,
SPAN221,
SPAN222,
SPAN290,
SPAN301,
SPAN305,
SPAN310,
SPAN320,
SPAN342,
SPAN343,
SPAN345,
SPAN360,
